Tiempo de predicción,Año,Presupuesto de horas,Horas acertadas
168,2021,10,0
168,2021,20,0
168,2021,30,0
168,2021,40,0
168,2021,50,0
168,2021,60,0
168,2021,70,0
168,2021,80,0
168,2021,90,0
168,2021,100,0
168,2021,110,0
168,2021,120,0
168,2021,130,0
168,2021,140,0
168,2021,150,0
168,2021,160,0
168,2021,170,0
168,2021,180,0
168,2021,190,0
168,2021,200,0
168,2021,210,1
168,2021,220,1
168,2021,230,1
168,2021,240,2
168,2021,250,2
168,2021,260,4
168,2021,270,5
168,2021,280,8
168,2021,290,9
168,2021,300,10
168,2021,310,11
168,2021,320,14
168,2021,330,16
168,2021,340,17
168,2021,350,18
168,2021,360,19
168,2021,370,19
168,2021,380,21
168,2021,390,23
168,2021,400,24
24,2021,10,0
24,2021,20,0
24,2021,30,0
24,2021,40,0
24,2021,50,0
24,2021,60,0
24,2021,70,0
24,2021,80,0
24,2021,90,0
24,2021,100,0
24,2021,110,0
24,2021,120,0
24,2021,130,0
24,2021,140,0
24,2021,150,0
24,2021,160,0
24,2021,170,2
24,2021,180,2
24,2021,190,3
24,2021,200,6
24,2021,210,7
24,2021,220,9
24,2021,230,10
24,2021,240,13
24,2021,250,14
24,2021,260,16
24,2021,270,18
24,2021,280,19
24,2021,290,20
24,2021,300,22
24,2021,310,23
24,2021,320,24
24,2021,330,26
24,2021,340,26
24,2021,350,27
24,2021,360,28
24,2021,370,31
24,2021,380,32
24,2021,390,33
24,2021,400,34
6,2021,10,0
6,2021,20,0
6,2021,30,0
6,2021,40,0
6,2021,50,0
6,2021,60,0
6,2021,70,0
6,2021,80,0
6,2021,90,0
6,2021,100,0
6,2021,110,0
6,2021,120,0
6,2021,130,0
6,2021,140,0
6,2021,150,0
6,2021,160,0
6,2021,170,0
6,2021,180,1
6,2021,190,2
6,2021,200,2
6,2021,210,3
6,2021,220,4
6,2021,230,5
6,2021,240,7
6,2021,250,10
6,2021,260,11
6,2021,270,11
6,2021,280,13
6,2021,290,14
6,2021,300,15
6,2021,310,15
6,2021,320,15
6,2021,330,16
6,2021,340,16
6,2021,350,17
6,2021,360,19
6,2021,370,20
6,2021,380,23
6,2021,390,23
6,2021,400,24
3,2021,10,0
3,2021,20,0
3,2021,30,0
3,2021,40,0
3,2021,50,0
3,2021,60,0
3,2021,70,0
3,2021,80,0
3,2021,90,0
3,2021,100,0
3,2021,110,0
3,2021,120,0
3,2021,130,0
3,2021,140,0
3,2021,150,0
3,2021,160,0
3,2021,170,0
3,2021,180,0
3,2021,190,1
3,2021,200,2
3,2021,210,2
3,2021,220,3
3,2021,230,4
3,2021,240,6
3,2021,250,6
3,2021,260,8
3,2021,270,9
3,2021,280,10
3,2021,290,11
3,2021,300,13
3,2021,310,15
3,2021,320,16
3,2021,330,16
3,2021,340,16
3,2021,350,16
3,2021,360,16
3,2021,370,18
3,2021,380,19
3,2021,390,20
3,2021,400,21
2,2021,10,0
2,2021,20,0
2,2021,30,0
2,2021,40,0
2,2021,50,0
2,2021,60,0
2,2021,70,0
2,2021,80,0
2,2021,90,0
2,2021,100,0
2,2021,110,0
2,2021,120,0
2,2021,130,0
2,2021,140,0
2,2021,150,0
2,2021,160,0
2,2021,170,0
2,2021,180,0
2,2021,190,1
2,2021,200,2
2,2021,210,2
2,2021,220,4
2,2021,230,4
2,2021,240,4
2,2021,250,7
2,2021,260,8
2,2021,270,9
2,2021,280,9
2,2021,290,12
2,2021,300,12
2,2021,310,12
2,2021,320,13
2,2021,330,13
2,2021,340,14
2,2021,350,16
2,2021,360,17
2,2021,370,18
2,2021,380,18
2,2021,390,18
2,2021,400,19
1,2021,10,0
1,2021,20,0
1,2021,30,0
1,2021,40,0
1,2021,50,0
1,2021,60,0
1,2021,70,0
1,2021,80,0
1,2021,90,0
1,2021,100,0
1,2021,110,0
1,2021,120,0
1,2021,130,0
1,2021,140,0
1,2021,150,0
1,2021,160,1
1,2021,170,1
1,2021,180,1
1,2021,190,1
1,2021,200,1
1,2021,210,2
1,2021,220,4
1,2021,230,5
1,2021,240,5
1,2021,250,8
1,2021,260,8
1,2021,270,10
1,2021,280,10
1,2021,290,11
1,2021,300,11
1,2021,310,12
1,2021,320,13
1,2021,330,14
1,2021,340,17
1,2021,350,17
1,2021,360,17
1,2021,370,19
1,2021,380,20
1,2021,390,20
1,2021,400,22
168,2022,10,2
168,2022,20,3
168,2022,30,4
168,2022,40,5
168,2022,50,7
168,2022,60,11
168,2022,70,15
168,2022,80,17
168,2022,90,17
168,2022,100,19
168,2022,110,20
168,2022,120,22
168,2022,130,24
168,2022,140,25
168,2022,150,27
168,2022,160,28
168,2022,170,31
168,2022,180,32
168,2022,190,32
168,2022,200,35
168,2022,210,35
168,2022,220,37
168,2022,230,38
168,2022,240,38
168,2022,250,42
168,2022,260,42
168,2022,270,44
168,2022,280,45
168,2022,290,47
168,2022,300,49
168,2022,310,50
168,2022,320,51
168,2022,330,52
168,2022,340,52
168,2022,350,55
168,2022,360,57
168,2022,370,57
168,2022,380,58
168,2022,390,58
168,2022,400,59
24,2022,10,5
24,2022,20,7
24,2022,30,8
24,2022,40,10
24,2022,50,12
24,2022,60,13
24,2022,70,15
24,2022,80,15
24,2022,90,15
24,2022,100,17
24,2022,110,19
24,2022,120,20
24,2022,130,22
24,2022,140,22
24,2022,150,25
24,2022,160,25
24,2022,170,26
24,2022,180,26
24,2022,190,26
24,2022,200,27
24,2022,210,28
24,2022,220,29
24,2022,230,30
24,2022,240,33
24,2022,250,35
24,2022,260,37
24,2022,270,41
24,2022,280,41
24,2022,290,42
24,2022,300,44
24,2022,310,45
24,2022,320,46
24,2022,330,46
24,2022,340,49
24,2022,350,52
24,2022,360,53
24,2022,370,55
24,2022,380,56
24,2022,390,56
24,2022,400,58
6,2022,10,0
6,2022,20,0
6,2022,30,0
6,2022,40,2
6,2022,50,3
6,2022,60,4
6,2022,70,5
6,2022,80,5
6,2022,90,7
6,2022,100,10
6,2022,110,11
6,2022,120,12
6,2022,130,14
6,2022,140,16
6,2022,150,18
6,2022,160,18
6,2022,170,19
6,2022,180,20
6,2022,190,21
6,2022,200,23
6,2022,210,24
6,2022,220,25
6,2022,230,27
6,2022,240,27
6,2022,250,29
6,2022,260,31
6,2022,270,32
6,2022,280,33
6,2022,290,34
6,2022,300,36
6,2022,310,37
6,2022,320,39
6,2022,330,39
6,2022,340,39
6,2022,350,40
6,2022,360,40
6,2022,370,42
6,2022,380,43
6,2022,390,44
6,2022,400,47
3,2022,10,0
3,2022,20,1
3,2022,30,1
3,2022,40,1
3,2022,50,1
3,2022,60,1
3,2022,70,2
3,2022,80,4
3,2022,90,5
3,2022,100,6
3,2022,110,9
3,2022,120,9
3,2022,130,9
3,2022,140,10
3,2022,150,10
3,2022,160,13
3,2022,170,13
3,2022,180,14
3,2022,190,14
3,2022,200,15
3,2022,210,16
3,2022,220,18
3,2022,230,20
3,2022,240,20
3,2022,250,24
3,2022,260,26
3,2022,270,28
3,2022,280,29
3,2022,290,31
3,2022,300,33
3,2022,310,35
3,2022,320,37
3,2022,330,38
3,2022,340,39
3,2022,350,39
3,2022,360,39
3,2022,370,40
3,2022,380,42
3,2022,390,42
3,2022,400,42
2,2022,10,0
2,2022,20,1
2,2022,30,1
2,2022,40,1
2,2022,50,1
2,2022,60,2
2,2022,70,2
2,2022,80,3
2,2022,90,4
2,2022,100,6
2,2022,110,6
2,2022,120,6
2,2022,130,8
2,2022,140,9
2,2022,150,10
2,2022,160,10
2,2022,170,12
2,2022,180,15
2,2022,190,17
2,2022,200,18
2,2022,210,19
2,2022,220,20
2,2022,230,21
2,2022,240,21
2,2022,250,22
2,2022,260,24
2,2022,270,27
2,2022,280,28
2,2022,290,28
2,2022,300,29
2,2022,310,31
2,2022,320,35
2,2022,330,36
2,2022,340,37
2,2022,350,38
2,2022,360,38
2,2022,370,40
2,2022,380,41
2,2022,390,41
2,2022,400,41
1,2022,10,0
1,2022,20,3
1,2022,30,3
1,2022,40,5
1,2022,50,7
1,2022,60,10
1,2022,70,13
1,2022,80,14
1,2022,90,14
1,2022,100,14
1,2022,110,15
1,2022,120,18
1,2022,130,18
1,2022,140,19
1,2022,150,21
1,2022,160,23
1,2022,170,25
1,2022,180,26
1,2022,190,26
1,2022,200,27
1,2022,210,27
1,2022,220,27
1,2022,230,28
1,2022,240,30
1,2022,250,30
1,2022,260,32
1,2022,270,32
1,2022,280,32
1,2022,290,33
1,2022,300,34
1,2022,310,35
1,2022,320,35
1,2022,330,36
1,2022,340,36
1,2022,350,39
1,2022,360,40
1,2022,370,41
1,2022,380,41
1,2022,390,42
1,2022,400,43
168,2023,10,1
168,2023,20,1
168,2023,30,2
168,2023,40,4
168,2023,50,5
168,2023,60,7
168,2023,70,7
168,2023,80,7
168,2023,90,9
168,2023,100,11
168,2023,110,12
168,2023,120,13
168,2023,130,13
168,2023,140,14
168,2023,150,14
168,2023,160,14
168,2023,170,14
168,2023,180,15
168,2023,190,16
168,2023,200,17
168,2023,210,18
168,2023,220,19
168,2023,230,22
168,2023,240,25
168,2023,250,27
168,2023,260,28
168,2023,270,28
168,2023,280,29
168,2023,290,31
168,2023,300,31
168,2023,310,32
168,2023,320,35
168,2023,330,35
168,2023,340,39
168,2023,350,41
168,2023,360,43
168,2023,370,46
168,2023,380,47
168,2023,390,48
168,2023,400,50
24,2023,10,4
24,2023,20,9
24,2023,30,10
24,2023,40,10
24,2023,50,10
24,2023,60,11
24,2023,70,15
24,2023,80,18
24,2023,90,20
24,2023,100,22
24,2023,110,26
24,2023,120,29
24,2023,130,31
24,2023,140,33
24,2023,150,35
24,2023,160,37
24,2023,170,38
24,2023,180,42
24,2023,190,44
24,2023,200,47
24,2023,210,50
24,2023,220,52
24,2023,230,53
24,2023,240,58
24,2023,250,59
24,2023,260,60
24,2023,270,64
24,2023,280,67
24,2023,290,68
24,2023,300,69
24,2023,310,70
24,2023,320,70
24,2023,330,70
24,2023,340,74
24,2023,350,74
24,2023,360,74
24,2023,370,74
24,2023,380,74
24,2023,390,74
24,2023,400,77
6,2023,10,2
6,2023,20,4
6,2023,30,5
6,2023,40,6
6,2023,50,8
6,2023,60,9
6,2023,70,10
6,2023,80,11
6,2023,90,12
6,2023,100,12
6,2023,110,12
6,2023,120,13
6,2023,130,14
6,2023,140,14
6,2023,150,15
6,2023,160,16
6,2023,170,18
6,2023,180,19
6,2023,190,19
6,2023,200,19
6,2023,210,20
6,2023,220,22
6,2023,230,22
6,2023,240,22
6,2023,250,22
6,2023,260,22
6,2023,270,23
6,2023,280,26
6,2023,290,28
6,2023,300,28
6,2023,310,30
6,2023,320,30
6,2023,330,31
6,2023,340,33
6,2023,350,33
6,2023,360,33
6,2023,370,35
6,2023,380,35
6,2023,390,38
6,2023,400,38
3,2023,10,3
3,2023,20,8
3,2023,30,10
3,2023,40,11
3,2023,50,11
3,2023,60,12
3,2023,70,12
3,2023,80,12
3,2023,90,13
3,2023,100,14
3,2023,110,17
3,2023,120,17
3,2023,130,17
3,2023,140,20
3,2023,150,23
3,2023,160,23
3,2023,170,25
3,2023,180,26
3,2023,190,27
3,2023,200,28
3,2023,210,29
3,2023,220,30
3,2023,230,33
3,2023,240,34
3,2023,250,36
3,2023,260,38
3,2023,270,41
3,2023,280,46
3,2023,290,46
3,2023,300,47
3,2023,310,47
3,2023,320,51
3,2023,330,54
3,2023,340,56
3,2023,350,59
3,2023,360,60
3,2023,370,62
3,2023,380,63
3,2023,390,64
3,2023,400,65
2,2023,10,4
2,2023,20,8
2,2023,30,11
2,2023,40,12
2,2023,50,13
2,2023,60,13
2,2023,70,13
2,2023,80,13
2,2023,90,13
2,2023,100,14
2,2023,110,15
2,2023,120,16
2,2023,130,16
2,2023,140,19
2,2023,150,23
2,2023,160,25
2,2023,170,25
2,2023,180,26
2,2023,190,28
2,2023,200,29
2,2023,210,31
2,2023,220,34
2,2023,230,36
2,2023,240,39
2,2023,250,43
2,2023,260,46
2,2023,270,48
2,2023,280,50
2,2023,290,51
2,2023,300,51
2,2023,310,54
2,2023,320,57
2,2023,330,59
2,2023,340,61
2,2023,350,63
2,2023,360,65
2,2023,370,66
2,2023,380,67
2,2023,390,70
2,2023,400,74
1,2023,10,4
1,2023,20,8
1,2023,30,11
1,2023,40,11
1,2023,50,12
1,2023,60,13
1,2023,70,14
1,2023,80,16
1,2023,90,17
1,2023,100,19
1,2023,110,23
1,2023,120,28
1,2023,130,29
1,2023,140,29
1,2023,150,32
1,2023,160,35
1,2023,170,37
1,2023,180,40
1,2023,190,44
1,2023,200,46
1,2023,210,47
1,2023,220,48
1,2023,230,50
1,2023,240,53
1,2023,250,55
1,2023,260,56
1,2023,270,59
1,2023,280,64
1,2023,290,64
1,2023,300,65
1,2023,310,65
1,2023,320,66
1,2023,330,68
1,2023,340,69
1,2023,350,69
1,2023,360,69
1,2023,370,70
1,2023,380,71
1,2023,390,74
1,2023,400,78
168,2024,10,0
168,2024,20,0
168,2024,30,1
168,2024,40,1
168,2024,50,2
168,2024,60,2
168,2024,70,3
168,2024,80,5
168,2024,90,5
168,2024,100,10
168,2024,110,13
168,2024,120,13
168,2024,130,17
168,2024,140,19
168,2024,150,21
168,2024,160,25
168,2024,170,28
168,2024,180,30
168,2024,190,31
168,2024,200,32
168,2024,210,33
168,2024,220,34
168,2024,230,37
168,2024,240,38
168,2024,250,39
168,2024,260,40
168,2024,270,42
168,2024,280,43
168,2024,290,45
168,2024,300,47
168,2024,310,49
168,2024,320,51
168,2024,330,54
168,2024,340,56
168,2024,350,57
168,2024,360,59
168,2024,370,61
168,2024,380,62
168,2024,390,65
168,2024,400,65
24,2024,10,3
24,2024,20,8
24,2024,30,12
24,2024,40,14
24,2024,50,16
24,2024,60,18
24,2024,70,23
24,2024,80,24
24,2024,90,28
24,2024,100,30
24,2024,110,33
24,2024,120,34
24,2024,130,35
24,2024,140,36
24,2024,150,38
24,2024,160,38
24,2024,170,40
24,2024,180,42
24,2024,190,44
24,2024,200,47
24,2024,210,49
24,2024,220,51
24,2024,230,51
24,2024,240,53
24,2024,250,54
24,2024,260,55
24,2024,270,56
24,2024,280,57
24,2024,290,57
24,2024,300,59
24,2024,310,61
24,2024,320,65
24,2024,330,68
24,2024,340,69
24,2024,350,69
24,2024,360,73
24,2024,370,73
24,2024,380,74
24,2024,390,74
24,2024,400,74
6,2024,10,3
6,2024,20,4
6,2024,30,7
6,2024,40,12
6,2024,50,15
6,2024,60,21
6,2024,70,25
6,2024,80,28
6,2024,90,29
6,2024,100,32
6,2024,110,33
6,2024,120,36
6,2024,130,37
6,2024,140,38
6,2024,150,39
6,2024,160,41
6,2024,170,44
6,2024,180,45
6,2024,190,47
6,2024,200,48
6,2024,210,49
6,2024,220,50
6,2024,230,51
6,2024,240,51
6,2024,250,54
6,2024,260,55
6,2024,270,56
6,2024,280,57
6,2024,290,57
6,2024,300,58
6,2024,310,59
6,2024,320,61
6,2024,330,61
6,2024,340,62
6,2024,350,63
6,2024,360,65
6,2024,370,67
6,2024,380,68
6,2024,390,68
6,2024,400,68
3,2024,10,2
3,2024,20,6
3,2024,30,10
3,2024,40,14
3,2024,50,18
3,2024,60,23
3,2024,70,27
3,2024,80,31
3,2024,90,32
3,2024,100,34
3,2024,110,36
3,2024,120,38
3,2024,130,38
3,2024,140,38
3,2024,150,39
3,2024,160,40
3,2024,170,42
3,2024,180,45
3,2024,190,45
3,2024,200,48
3,2024,210,48
3,2024,220,49
3,2024,230,51
3,2024,240,53
3,2024,250,55
3,2024,260,56
3,2024,270,57
3,2024,280,59
3,2024,290,61
3,2024,300,62
3,2024,310,64
3,2024,320,64
3,2024,330,64
3,2024,340,65
3,2024,350,67
3,2024,360,68
3,2024,370,69
3,2024,380,70
3,2024,390,70
3,2024,400,70
2,2024,10,1
2,2024,20,5
2,2024,30,10
2,2024,40,15
2,2024,50,20
2,2024,60,22
2,2024,70,26
2,2024,80,29
2,2024,90,30
2,2024,100,34
2,2024,110,38
2,2024,120,39
2,2024,130,43
2,2024,140,44
2,2024,150,45
2,2024,160,48
2,2024,170,49
2,2024,180,50
2,2024,190,50
2,2024,200,51
2,2024,210,52
2,2024,220,55
2,2024,230,56
2,2024,240,60
2,2024,250,61
2,2024,260,62
2,2024,270,62
2,2024,280,63
2,2024,290,65
2,2024,300,67
2,2024,310,69
2,2024,320,69
2,2024,330,73
2,2024,340,73
2,2024,350,74
2,2024,360,75
2,2024,370,75
2,2024,380,78
2,2024,390,78
2,2024,400,78
1,2024,10,4
1,2024,20,6
1,2024,30,13
1,2024,40,15
1,2024,50,20
1,2024,60,24
1,2024,70,25
1,2024,80,27
1,2024,90,30
1,2024,100,35
1,2024,110,37
1,2024,120,39
1,2024,130,44
1,2024,140,45
1,2024,150,48
1,2024,160,50
1,2024,170,55
1,2024,180,56
1,2024,190,56
1,2024,200,57
